task_code,status_code,wbs_id,user_field_297,task_name,start_date,end_date,delete_record_flag
CSE40210,Not Started,LINXS-1907.C.3.S.V.P.1,,Pull Wire Electrical - WITF - Platform - REI-803,8/4/2021 8:00:00 AM,8/17/2021 5:00:00 PM,
CSE40220,Not Started,LINXS-1907.C.3.S.V.P.1,,Trim Finishes Low Voltage Systems - WITF - Platform - REI-804,8/25/2021 8:00:00 AM,9/8/2021 5:00:00 PM,
CSE40230,Not Started,LINXS-1907.C.3.S.V.P.1,,Trim Finishes Electrical - WITF - Platform - REI-805,8/18/2021 8:00:00 AM,9/8/2021 5:00:00 PM,
CSE40240,Not Started,LINXS-1907.C.3.S.V.P.1,,Trim Lighting - WITF - Platform - REI-806,9/9/2021 8:00:00 AM,9/29/2021 5:00:00 PM,
CSE40250,Not Started,LINXS-1907.C.3.S.V.P.1,,Fire Seal - WITF - Platform - REI-807,9/30/2021 8:00:00 AM,10/6/2021 5:00:00 PM,
CSE40260,Not Started,LINXS-1907.C.3.S.V.P.1,,Electrical Test/Checkout - WITF - Platform - REI-808,10/7/2021 8:00:00 AM,10/13/2021 5:00:00 PM,
CSE40270,Not Started,LINXS-1907.C.3.S.V.P.1,,Low Voltage Test/Checkout - WITF - Platform - REI-809,10/7/2021 8:00:00 AM,10/13/2021 5:00:00 PM,
CSE119920,Not Started,LINXS-1907.C.3.S.V.P.1,,Rough-In Lighting - WITF - Platform - REI-2604,8/18/2021 8:00:00 AM,8/31/2021 5:00:00 PM,
CSE119930,Not Started,LINXS-1907.C.3.S.V.P.1,,Platform Train Doors Power - WITF - Platform - REI-2605,9/9/2021 8:00:00 AM,10/6/2021 5:00:00 PM,
CSE119940,Not Started,LINXS-1907.C.3.S.V.P.1,,Platform Train Doors Low Voltage - WITF - Platform - REI-2902,9/9/2021 8:00:00 AM,10/6/2021 5:00:00 PM,
CS30410,Not Started,LINXS-1907.C.3.S.V.1,JS110,Install Stairs Foundations - West ITF Station,10/12/2020 8:00:00 AM,10/27/2020 5:00:00 PM,
CS309A0.10,Not Started,LINXS-1907.C.3.S.V.1,JS110,Layout / Excavate Foundations - Ground Level - West ITF Station,10/5/2020 8:00:00 AM,10/9/2020 5:00:00 PM,
CS309A0.12,Not Started,LINXS-1907.C.3.S.V.1,JS110,Install Reinforcement / Place Foundations - Ground Level - West ITF Station,10/12/2020 8:00:00 AM,10/20/2020 5:00:00 PM,
CS309A0.14,Not Started,LINXS-1907.C.3.S.V.1,,Install Underground MP - Ground Level - West ITF Station,10/21/2020 8:00:00 AM,11/3/2020 5:00:00 PM,
CS309A0.16,Not Started,LINXS-1907.C.3.S.V.1,JS120,Install Structural Steel Columns - Ground Level - West ITF Station,11/4/2020 8:00:00 AM,11/12/2020 5:00:00 PM,
CS309A0.18,Not Started,LINXS-1907.C.3.S.V.1,JS120,Install Structural Steel for Window Walls - Ground Level - West ITF Station,11/13/2020 8:00:00 AM,11/24/2020 5:00:00 PM,
CS309A0.20,Not Started,LINXS-1907.C.3.S.V.1,JS116,Place SOG - Ground Level - West ITF Station,11/25/2020 8:00:00 AM,12/10/2020 5:00:00 PM,
CS309A0.22,Not Started,LINXS-1907.C.3.S.V.1,,Set Escalators Supports - Ground Level - West ITF Station,12/11/2020 8:00:00 AM,12/17/2020 5:00:00 PM,
CS309A0.24,Not Started,LINXS-1907.C.3.S.V.1,JS134,Layout / Build Room Walls - Ground Level - West ITF Station,12/18/2020 8:00:00 AM,1/22/2021 5:00:00 PM,
CS309A0.26,Not Started,LINXS-1907.C.3.S.V.1,JS132,Frame Ceilings - Ground Level - West ITF Station,1/25/2021 8:00:00 AM,2/5/2021 5:00:00 PM,
CS309A0.28,Not Started,LINXS-1907.C.3.S.V.1,JS134,Install HM Frames - Ground Level - West ITF Station,2/8/2021 8:00:00 AM,2/10/2021 5:00:00 PM,
CS309A0.30,Not Started,LINXS-1907.C.3.S.V.1,,Install Rough-In MP - Ground Level - West ITF Station,2/11/2021 8:00:00 AM,2/24/2021 5:00:00 PM,
CS309A0.32,Not Started,LINXS-1907.C.3.S.V.1,JS133,Install Dens Glass - Ground Level - West ITF Station,2/25/2021 8:00:00 AM,3/10/2021 5:00:00 PM,
CS309A0.34,Not Started,LINXS-1907.C.3.S.V.1,JS134,Install Drywall Rooms - Ground Level - West ITF Station,2/25/2021 8:00:00 AM,3/3/2021 5:00:00 PM,
CS309A0.36,Not Started,LINXS-1907.C.3.S.V.1,JS134,Paint Rooms - Ground Level - West ITF Station,3/4/2021 8:00:00 AM,3/17/2021 5:00:00 PM,
CS309A0.38,Not Started,LINXS-1907.C.3.S.V.1,JS134,Install Metal Panels - Ground Level - West ITF Station,3/18/2021 8:00:00 AM,3/31/2021 5:00:00 PM,
CS309A0.40,Not Started,LINXS-1907.C.3.S.V.1,JS132,Install Metal Ceiling - Ground Level - West ITF Station,4/1/2021 8:00:00 AM,4/14/2021 5:00:00 PM,
CITFWA,Not Started,LINXS-1907.C.3.S.V.1,,"MOT & Mobilize Equip., Matls & Craft  - Station Package - West ITF Station",9/18/2019 8:00:00 AM,10/15/2019 5:00:00 PM,
CSE119750,Not Started,LINXS-1907.C.3.S.V.1.1,,In-slab Conduit Rough-In - WITF - GL - REI,10/12/2020 8:00:00 AM,10/16/2020 5:00:00 PM,
CSE119790,Not Started,LINXS-1907.C.3.S.V.1.1,,Overhead Rough-In Electrical - WITF -  GL - REI,2/8/2021 8:00:00 AM,2/12/2021 5:00:00 PM,
CSE119800,Not Started,LINXS-1907.C.3.S.V.1.1,,Overhead Rough-In Low Voltage Systems - WITF -  GL - REI,2/8/2021 8:00:00 AM,2/12/2021 5:00:00 PM,
CSE119810,Not Started,LINXS-1907.C.3.S.V.1.1,,Pull Wire Electrical - WITF -  GL - REI,2/15/2021 8:00:00 AM,2/26/2021 5:00:00 PM,
CSE119820,Not Started,LINXS-1907.C.3.S.V.1.1,,Pull Wire Low Voltage Systems - WITF -  GL - REI,2/15/2021 8:00:00 AM,2/26/2021 5:00:00 PM,
CSE119840,Not Started,LINXS-1907.C.3.S.V.1.1,,Trim Finishes Low Voltage Systems - WITF -  GL - REI,3/1/2021 8:00:00 AM,3/2/2021 5:00:00 PM,
CSE119850,Not Started,LINXS-1907.C.3.S.V.1.1,,Trim Lighting - WITF - GL - REI,7/7/2021 8:00:00 AM,7/20/2021 5:00:00 PM,
CSE119860,Not Started,LINXS-1907.C.3.S.V.1.1,,Fire Seal - WITF - GL - REI,7/21/2021 8:00:00 AM,7/27/2021 5:00:00 PM,
CSE119870,Not Started,LINXS-1907.C.3.S.V.1.1,,Electrical Test/Checkout - WITF - GL - REI,7/28/2021 8:00:00 AM,8/3/2021 5:00:00 PM,
CSE119880,Not Started,LINXS-1907.C.3.S.V.1.1,,Low Voltage Test/Checkout - WITF - GL - REI,8/4/2021 8:00:00 AM,8/10/2021 5:00:00 PM,
CSE119890,Not Started,LINXS-1907.C.3.S.V.1.1,,Rough-in Lighting - WITF - GL - REI,3/1/2021 8:00:00 AM,3/26/2021 5:00:00 PM,
LAXCZ3RW04,Not Started,LINXS-1907.C.3.RW.02,,Roadway - Century Blvd - West ITF - WBS Summary,11/7/2019 8:00:00 AM,9/29/2021 5:00:00 PM,
C1R4A,Not Started,LINXS-1907.C.3.RW.02,,"MOT & Mobilize Equip., Matls & Craft - Design Package 1R4 - Area 1 - Roadway - Century Boulevard",11/7/2019 8:00:00 AM,12/12/2019 5:00:00 PM,
CR30380,Not Started,LINXS-1907.C.3.RW.02.01,,Phase 1A: Construct Curb/Gutter/Flatwork - Century Blvd,4/23/2020 8:00:00 AM,4/30/2020 5:00:00 PM,
CR30370,Not Started,LINXS-1907.C.3.RW.02.01,,Phase 1A: Construct AB Section - Century Blvd,4/6/2020 8:00:00 AM,4/22/2020 5:00:00 PM,
CR30360,Not Started,LINXS-1907.C.3.RW.02.01,,Phase 1A: Place AC Pavement - Century Blvd,5/15/2020 8:00:00 AM,5/20/2020 5:00:00 PM,
CR30350,Not Started,LINXS-1907.C.3.RW.02.01,,Phase 1A: Place Striping & Signage - Century Blvd,7/9/2020 8:00:00 AM,7/14/2020 5:00:00 PM,
CR30340,Not Started,LINXS-1907.C.3.RW.02.01,,Phase 1A: Install Sidewalk - Century Blvd,5/21/2020 8:00:00 AM,6/9/2020 5:00:00 PM,
CR30330,Not Started,LINXS-1907.C.3.RW.02.01,,Phase 1A: Install Drainage - Century Blvd,2/28/2020 8:00:00 AM,3/26/2020 5:00:00 PM,
CR30310,Not Started,LINXS-1907.C.3.RW.02.01,,Phase 1A: Remove Pavement - Century Blvd,2/4/2020 8:00:00 AM,2/11/2020 5:00:00 PM,
CR30300,Not Started,LINXS-1907.C.3.RW.02.01,,Phase 1A: Excavate Subgrade - Century Blvd,2/12/2020 8:00:00 AM,2/27/2020 5:00:00 PM,
CR30290,Not Started,LINXS-1907.C.3.RW.02.01,,Phase 1A: Finegrade Roadway - Century Blvd,3/27/2020 8:00:00 AM,4/3/2020 5:00:00 PM,
CR41740,Not Started,LINXS-1907.C.3.RW.02.01,,Phase 1A: Backfill and Grade Sidewalk - Century Blvd,6/10/2020 8:00:00 AM,6/23/2020 5:00:00 PM,
CR41750,Not Started,LINXS-1907.C.3.RW.02.01,,Phase 1A: Landscaping - Century Blvd,6/24/2020 8:00:00 AM,7/8/2020 5:00:00 PM,
CR42360,Not Started,LINXS-1907.C.3.RW.02.01,,Phase 1A: Install Electrical and Box Signal Conduit - Century Blvd,5/1/2020 8:00:00 AM,5/14/2020 5:00:00 PM,
CR42150,Not Started,LINXS-1907.C.3.RW.02.02,,Phase 2: Construct AB Section - Century Blvd,3/11/2021 8:00:00 AM,3/26/2021 5:00:00 PM,
CR42170,Not Started,LINXS-1907.C.3.RW.02.02,,Phase 2: Place AC Pavement - Century Blvd,3/29/2021 8:00:00 AM,4/1/2021 5:00:00 PM,
CR42230,Not Started,LINXS-1907.C.3.RW.02.02,,Phase 2: Place Striping & Signage - Century Blvd,4/5/2021 8:00:00 AM,4/8/2021 5:00:00 PM,
CR42120,Not Started,LINXS-1907.C.3.RW.02.02,,Phase 2: Remove Pavement - Century Blvd,2/3/2021 8:00:00 AM,2/10/2021 5:00:00 PM,
CR42130,Not Started,LINXS-1907.C.3.RW.02.02,,Phase 2: Excavate Subgrade - Century Blvd,2/15/2021 8:00:00 AM,3/2/2021 5:00:00 PM,
CR42140,Not Started,LINXS-1907.C.3.RW.02.02,,Phase 2: Finegrade Roadway - Century Blvd,3/3/2021 8:00:00 AM,3/10/2021 5:00:00 PM,
CR42280,Not Started,LINXS-1907.C.3.RW.02.03,,Phase 3: Construct Curb/Gutter/Median - Century Blvd,6/2/2021 8:00:00 AM,6/9/2021 5:00:00 PM,
CR42270,Not Started,LINXS-1907.C.3.RW.02.03,,Phase 3: Construct AB Section - Century Blvd,5/13/2021 8:00:00 AM,6/1/2021 5:00:00 PM,
CR42290,Not Started,LINXS-1907.C.3.RW.02.03,,Phase 3: Place AC Pavement - Century Blvd,6/10/2021 8:00:00 AM,6/15/2021 5:00:00 PM,
CR42350,Not Started,LINXS-1907.C.3.RW.02.03,,Phase 3: Place Striping & Signage - Century Blvd,7/15/2021 8:00:00 AM,7/20/2021 5:00:00 PM,
CR42240,Not Started,LINXS-1907.C.3.RW.02.03,,Phase 3: Remove Pavement - Century Blvd,4/9/2021 8:00:00 AM,4/16/2021 5:00:00 PM,
CR42250,Not Started,LINXS-1907.C.3.RW.02.03,,Phase 3: Excavate Subgrade - Century Blvd,4/19/2021 8:00:00 AM,5/4/2021 5:00:00 PM,
CR42260,Not Started,LINXS-1907.C.3.RW.02.03,,Phase 3: Finegrade Roadway - Century Blvd,5/5/2021 8:00:00 AM,5/12/2021 5:00:00 PM,
CR42310,Not Started,LINXS-1907.C.3.RW.02.03,,Phase 3: Backfill and Grade Median - Century Blvd,6/16/2021 8:00:00 AM,6/29/2021 5:00:00 PM,
CR42320,Not Started,LINXS-1907.C.3.RW.02.03,,Phase 3: Landscaping - Century Blvd,6/30/2021 8:00:00 AM,7/14/2021 5:00:00 PM,
CR42390,Not Started,LINXS-1907.C.3.RW.02.1,,Phase 1B: Auger Traffic Signal Foundations - W Century Blvd & Avion Dr Intersection,8/5/2020 8:00:00 AM,8/10/2020 5:00:00 PM,
CR42400,Not Started,LINXS-1907.C.3.RW.02.1,,Phase 1B: Form an Pour Traffic Signal Foundation - W Century Blvd & Avion Dr Intersection,8/5/2020 8:00:00 AM,8/11/2020 5:00:00 PM,
CR42410,Not Started,LINXS-1907.C.3.RW.02.1,,Phase 1B: Install Traffic Signal Conduit - W Century Blvd & Avion Dr Intersection,8/5/2020 8:00:00 AM,8/10/2020 5:00:00 PM,
CR42430,Not Started,LINXS-1907.C.3.RW.02.1,,Phase 1B: Pull Traffic Signal Boxes - W Century Blvd & Avion Dr Intersection,8/12/2020 8:00:00 AM,8/18/2020 5:00:00 PM,
CR42450,Not Started,LINXS-1907.C.3.RW.02.1,,Phase 1B: Controller Traffic Signal Foundation - W Century Blvd & Avion Dr Intersection,8/19/2020 8:00:00 AM,8/21/2020 5:00:00 PM,
CR42470,Not Started,LINXS-1907.C.3.RW.02.1,,Phase 1B: Install New Traffic Signal Poles  - W Century Blvd & Avion Dr Intersection,1/6/2021 8:00:00 AM,1/11/2021 5:00:00 PM,
CR42490,Not Started,LINXS-1907.C.3.RW.02.1,,Phase 1B: Pull in Traffic Signal Cable - W Century Blvd & Avion Dr Intersection,1/12/2021 8:00:00 AM,1/13/2021 5:00:00 PM,
CR42370,Not Started,LINXS-1907.C.3.RW.02.1,,Phase 1B: Demo Curb - W Century Blvd & Avion Dr Intersection,7/15/2020 8:00:00 AM,7/21/2020 5:00:00 PM,
CR42380,Not Started,LINXS-1907.C.3.RW.02.1,,Phase 1B: Construct Curb - W Century Blvd & Avion Dr Intersection,7/22/2020 8:00:00 AM,8/4/2020 5:00:00 PM,
CR42420,Not Started,LINXS-1907.C.3.RW.02.1,,Phase 1B: Construct Handicap Ramps - W Century Blvd & Avion Dr Intersection,8/5/2020 8:00:00 AM,8/11/2020 5:00:00 PM,
CR42440,Not Started,LINXS-1907.C.3.RW.02.1,,Phase 1B: Construct Aprons - W Century Blvd & Avion Dr Intersection,8/12/2020 8:00:00 AM,8/18/2020 5:00:00 PM,
CR42460,Not Started,LINXS-1907.C.3.RW.02.1,,Phase 1B: Demo Pavement Section - W Century Blvd & Avion Dr Intersection,8/19/2020 8:00:00 AM,8/25/2020 5:00:00 PM,
CR42480,Not Started,LINXS-1907.C.3.RW.02.1,,Phase 1B: Place Base - W Century Blvd & Avion Dr Intersection,8/26/2020 8:00:00 AM,9/1/2020 5:00:00 PM,
CR42500,Not Started,LINXS-1907.C.3.RW.02.1,,Phase 1B: Pave Ashphalt - W Century Blvd & Avion Dr Intersection,1/14/2021 8:00:00 AM,1/15/2021 5:00:00 PM,
CR42510,Not Started,LINXS-1907.C.3.RW.02.1,,Phase 1B: Cut Loops - W Century Blvd & Avion Dr Intersection,1/18/2021 8:00:00 AM,1/19/2021 5:00:00 PM,
CR42520,Not Started,LINXS-1907.C.3.RW.02.1,,Phase 1B: Place Striping & Signage - W Century Blvd & Avion Dr Intersection,1/20/2021 8:00:00 AM,2/2/2021 5:00:00 PM,
CR42670,Not Started,LINXS-1907.C.3.RW.02.04,,Phase 4: Auger Traffic Signal Foundations - W Century Blvd & New A St Intersection,8/11/2021 8:00:00 AM,8/16/2021 5:00:00 PM,
CR42680,Not Started,LINXS-1907.C.3.RW.02.04,,Phase 4: Form an Pour Traffic Signal Foundation - W Century Blvd & New A St Intersection,8/11/2021 8:00:00 AM,8/17/2021 5:00:00 PM,
CR42690,Not Started,LINXS-1907.C.3.RW.02.04,,Phase 4: Install Traffic Signal Conduit - W Century Blvd & New A St Intersection,8/11/2021 8:00:00 AM,8/16/2021 5:00:00 PM,
CR42710,Not Started,LINXS-1907.C.3.RW.02.04,,Phase 4: Pull Traffic Signal Boxes - W Century Blvd & New A St Intersection,8/18/2021 8:00:00 AM,8/24/2021 5:00:00 PM,
CR42730,Not Started,LINXS-1907.C.3.RW.02.04,,Phase 4: Controller Traffic Signal Foundation - W Century Blvd & New A St Intersection,8/25/2021 8:00:00 AM,8/27/2021 5:00:00 PM,
CR42750,Not Started,LINXS-1907.C.3.RW.02.04,,Phase 4: Install New Traffic Signal Poles  - W Century Blvd & New A St Intersection,8/30/2021 8:00:00 AM,9/2/2021 5:00:00 PM,
CR42770,Not Started,LINXS-1907.C.3.RW.02.04,,Phase 4: Pull in Traffic Signal Cable - W Century Blvd & New A St Intersection,9/7/2021 8:00:00 AM,9/8/2021 5:00:00 PM,
CR42650,Not Started,LINXS-1907.C.3.RW.02.04,,Phase 4: Demo Curb - W Century Blvd & New A St Intersection,7/21/2021 8:00:00 AM,7/27/2021 5:00:00 PM,
CR42660,Not Started,LINXS-1907.C.3.RW.02.04,,Phase 4: Construct Curb - W Century Blvd & New A St Intersection,7/28/2021 8:00:00 AM,8/10/2021 5:00:00 PM,
CR42700,Not Started,LINXS-1907.C.3.RW.02.04,,Phase 4: Construct Handicap Ramps - W Century Blvd & New A St Intersection,8/11/2021 8:00:00 AM,8/17/2021 5:00:00 PM,
CR42720,Not Started,LINXS-1907.C.3.RW.02.04,,Phase 4: Construct Aprons - W Century Blvd & New A St Intersection,8/18/2021 8:00:00 AM,8/24/2021 5:00:00 PM,
CR42740,Not Started,LINXS-1907.C.3.RW.02.04,,Phase 4: Demo Pavement Section - W Century Blvd & New A St Intersection,8/25/2021 8:00:00 AM,8/31/2021 5:00:00 PM,
CR42760,Not Started,LINXS-1907.C.3.RW.02.04,,Phase 4: Place Base - W Century Blvd & New A St Intersection,9/1/2021 8:00:00 AM,9/9/2021 5:00:00 PM,
CR42780,Not Started,LINXS-1907.C.3.RW.02.04,,Phase 4: Pave Ashphalt - W Century Blvd & New A St Intersection,9/10/2021 8:00:00 AM,9/13/2021 5:00:00 PM,
CR42790,Not Started,LINXS-1907.C.3.RW.02.04,,Phase 4: Cut Loops - W Century Blvd & New A St Intersection,9/14/2021 8:00:00 AM,9/15/2021 5:00:00 PM,
CR42800,Not Started,LINXS-1907.C.3.RW.02.04,,Phase 4: Place Striping & Signage - W Century Blvd & New A St Intersection,9/16/2021 8:00:00 AM,9/29/2021 5:00:00 PM,
LAXCZ3RW3,Not Started,LINXS-1907.C.3.RW.05,,Roadway - New D Street - West ITF - MSF - WBS Summary,1/24/2020 8:00:00 AM,7/27/2021 5:00:00 PM,
CR30180,Not Started,LINXS-1907.C.3.RW.05.01,,Phase 1: Construct Curb/Gutter/Flatwork - West New D Street - MSF,9/23/2020 8:00:00 AM,10/13/2020 5:00:00 PM,
CR30170,Not Started,LINXS-1907.C.3.RW.05.01,,Phase 1: Construct AB Section - West New D Street - MSF,9/9/2020 8:00:00 AM,9/22/2020 5:00:00 PM,
CR30160,Not Started,LINXS-1907.C.3.RW.05.01,,Phase 1: Place AC Pavement - West New D Street - MSF,10/14/2020 8:00:00 AM,10/20/2020 5:00:00 PM,
CR30150,Not Started,LINXS-1907.C.3.RW.05.01,,Phase 1: Place Striping & Signage - West New D Street - MSF,3/5/2021 8:00:00 AM,3/9/2021 5:00:00 PM,
CR30140,Not Started,LINXS-1907.C.3.RW.05.01,,Phase 1: Install Sidewalk - West New D Street - MSF,10/21/2020 8:00:00 AM,11/5/2020 5:00:00 PM,
CR30130,Not Started,LINXS-1907.C.3.RW.05.01,,Phase 1: Install ADA Ramps/Driveways - West New D Street - MSF,12/14/2020 8:00:00 AM,12/16/2020 5:00:00 PM,
CR30120,Not Started,LINXS-1907.C.3.RW.05.01,,Phase 1: Clear and Grub - West New D Street - MSF,1/31/2020 8:00:00 AM,2/4/2020 5:00:00 PM,
CR30110,Not Started,LINXS-1907.C.3.RW.05.01,,Phase 1: Excavate Subgrade - West New D Street - MSF,2/5/2020 8:00:00 AM,2/12/2020 5:00:00 PM,
CR30100,Not Started,LINXS-1907.C.3.RW.05.01,,Phase 1: Finegrade Roadway - West New D Street - MSF,8/26/2020 8:00:00 AM,9/8/2020 5:00:00 PM,
C3R2A,Not Started,LINXS-1907.C.3.RW.05.01,,"MOT & Mobilize Equip., Matls & Craft - Design Package 3R2 - Area 3 - Roadway - D Street",1/24/2020 8:00:00 AM,1/30/2020 5:00:00 PM,
CR40490,Not Started,LINXS-1907.C.3.RW.05.01,,Phase 1: Install Street Light Poles - West New D Street - MSF,2/3/2021 8:00:00 AM,2/9/2021 5:00:00 PM,
CR30960,Not Started,LINXS-1907.C.3.RW.05.01,,Phase 1: Auger Street Light Foundations - West New D Street - MSF,1/27/2021 8:00:00 AM,2/2/2021 5:00:00 PM,
CR30970,Not Started,LINXS-1907.C.3.RW.05.01,,Phase 1: Form an Pour Street Light Foundation - West New D Street - MSF,12/17/2020 8:00:00 AM,12/28/2020 5:00:00 PM,
CR30980,Not Started,LINXS-1907.C.3.RW.05.01,,Phase 1: Install Street Light Conduit - West New D Street - MSF,12/17/2020 8:00:00 AM,1/7/2021 5:00:00 PM,
CR40510,Not Started,LINXS-1907.C.3.RW.05.01,,Phase 1: Pull in Street Light Cable - West New D Street - MSF,2/10/2021 8:00:00 AM,2/25/2021 5:00:00 PM,
CR40690,Not Started,LINXS-1907.C.3.RW.05.01,,Phase 1: Commissioning Street Lights - West New D Street - MSF,2/26/2021 8:00:00 AM,3/4/2021 5:00:00 PM,
CR41760,Not Started,LINXS-1907.C.3.RW.05.01,,Phase 1: Backfill and Grade Sidewalk - West New D Street - MSF,11/6/2020 8:00:00 AM,11/19/2020 5:00:00 PM,
CR41770,Not Started,LINXS-1907.C.3.RW.05.01,,Phase 1: Landscaping - West New D Street - MSF,11/20/2020 8:00:00 AM,12/11/2020 5:00:00 PM,
CR41890,Not Started,LINXS-1907.C.3.RW.05.01,,Phase 1: Installation of DWP/Comm Ductbanks Complete - West New D Street - MSF,,8/25/2020 5:00:00 PM,
CR42080,Not Started,LINXS-1907.C.3.RW.05.01,,Phase 1: Install Storm Drain - West New D Street - MSF,3/12/2020 8:00:00 AM,4/8/2020 5:00:00 PM,
CR43830,Not Started,LINXS-1907.C.3.RW.05.01,,Phase 1: Install Drywells - West New D Street - MSF,2/13/2020 8:00:00 AM,3/11/2020 5:00:00 PM,
CR41950,Not Started,LINXS-1907.C.3.RW.05.02,,Phase 2: Construct Curb/Gutter/Flatwork - East New D Street - MSF,4/29/2021 8:00:00 AM,5/6/2021 5:00:00 PM,
CR41940,Not Started,LINXS-1907.C.3.RW.05.02,,Phase 2: Construct AB Section - East New D Street - MSF,4/15/2021 8:00:00 AM,4/28/2021 5:00:00 PM,
CR41960,Not Started,LINXS-1907.C.3.RW.05.02,,Phase 2: Place AC Pavement - East New D Street - MSF,5/7/2021 8:00:00 AM,5/13/2021 5:00:00 PM,
CR42070,Not Started,LINXS-1907.C.3.RW.05.02,,Phase 2: Place Striping & Signage - East New D Street - MSF,7/23/2021 8:00:00 AM,7/27/2021 5:00:00 PM,
CR41970,Not Started,LINXS-1907.C.3.RW.05.02,,Phase 2: Install Sidewalk - East New D Street - MSF,5/14/2021 8:00:00 AM,6/2/2021 5:00:00 PM,
CR42000,Not Started,LINXS-1907.C.3.RW.05.02,,Phase 2: Install ADA Ramps/Driveways - East New D Street - MSF,6/3/2021 8:00:00 AM,6/9/2021 5:00:00 PM,
CR41900,Not Started,LINXS-1907.C.3.RW.05.02,,Phase 2: Remove Pavement/Fence - East New D Street - MSF,3/10/2021 8:00:00 AM,3/12/2021 5:00:00 PM,
CR41910,Not Started,LINXS-1907.C.3.RW.05.02,,Phase 2: Excavate Subgrade - East New D Street - MSF,3/15/2021 8:00:00 AM,3/22/2021 5:00:00 PM,
CR41920,Not Started,LINXS-1907.C.3.RW.05.02,,Phase 2: Finegrade Roadway - East New D Street - MSF,4/7/2021 8:00:00 AM,4/14/2021 5:00:00 PM,
CR42040,Not Started,LINXS-1907.C.3.RW.05.02,,Phase 2: Install Street Light Poles - East New D Street - MSF,6/24/2021 8:00:00 AM,6/30/2021 5:00:00 PM,
CR42010,Not Started,LINXS-1907.C.3.RW.05.02,,Phase 2: Auger Street Light Foundations - East New D Street - MSF,6/10/2021 8:00:00 AM,6/16/2021 5:00:00 PM,
CR42020,Not Started,LINXS-1907.C.3.RW.05.02,,Phase 2: Form an Pour Street Light Foundation - East New D Street - MSF,6/10/2021 8:00:00 AM,6/16/2021 5:00:00 PM,
CR42030,Not Started,LINXS-1907.C.3.RW.05.02,,Phase 2: Install Street Light Conduit - East New D Street - MSF,6/10/2021 8:00:00 AM,6/23/2021 5:00:00 PM,
CR42050,Not Started,LINXS-1907.C.3.RW.05.02,,Phase 2: Pull in Street Light Cable - East New D Street - MSF,7/1/2021 8:00:00 AM,7/15/2021 5:00:00 PM,
CR42060,Not Started,LINXS-1907.C.3.RW.05.02,,Phase 2: Commissioning Street Lights - East New D Street - MSF,7/16/2021 8:00:00 AM,7/22/2021 5:00:00 PM,
CR42090,Not Started,LINXS-1907.C.3.RW.05.02,,Phase 2: Install Storm Drain - West New D Street - MSF,3/23/2021 8:00:00 AM,4/6/2021 5:00:00 PM,
LAXCZ3RW02,Not Started,LINXS-1907.C.3.RW.06,,Roadway - Arbor Vitae - WBS Summary,12/2/2022 8:00:00 AM,2/1/2023 5:00:00 PM,
CR30770,Not Started,LINXS-1907.C.3.RW.06,,Construct Curb/Gutter/Flatwork - Arbor Vitae,12/2/2022 8:00:00 AM,12/15/2022 5:00:00 PM,
CR30740,Not Started,LINXS-1907.C.3.RW.06,,Place Striping & Signage - Arbor Vitae,1/31/2023 8:00:00 AM,2/1/2023 5:00:00 PM,
CR30730,Not Started,LINXS-1907.C.3.RW.06,,Install Sidewalk - Arbor Vitae,12/16/2022 8:00:00 AM,12/27/2022 5:00:00 PM,
CR41780,Not Started,LINXS-1907.C.3.RW.06,,Backfill and Grade Sidewalk - Arbor Vitae,12/28/2022 8:00:00 AM,1/13/2023 5:00:00 PM,
CR41790,Not Started,LINXS-1907.C.3.RW.06,,Landscaping - Arbor Vitae,1/16/2023 8:00:00 AM,1/30/2023 5:00:00 PM,
LAXCZ3RW7,Not Started,LINXS-1907.C.3.RW.07,,Roadway - New A Street - West ITF - WBS Summary,9/21/2020 8:00:00 AM,7/23/2021 5:00:00 PM,
CR30280,Not Started,LINXS-1907.C.3.RW.07,,Construct Curb/Gutter/Flatwork - New A Street - West ITF Station,3/2/2021 8:00:00 AM,3/17/2021 5:00:00 PM,
CR30270,Not Started,LINXS-1907.C.3.RW.07,,Construct AB Section - New A Street - West ITF Station,2/10/2021 8:00:00 AM,3/1/2021 5:00:00 PM,
CR30260,Not Started,LINXS-1907.C.3.RW.07,,Place AC Pavement - New A Street - West ITF Station,3/18/2021 8:00:00 AM,3/23/2021 5:00:00 PM,
CR30250,Not Started,LINXS-1907.C.3.RW.07,,Place Striping & Signage - New A Street - West ITF Station,7/13/2021 8:00:00 AM,7/16/2021 5:00:00 PM,
CR30240,Not Started,LINXS-1907.C.3.RW.07,,Install Sidewalk - New A Street - West ITF Station,3/24/2021 8:00:00 AM,4/19/2021 5:00:00 PM,
CR30230,Not Started,LINXS-1907.C.3.RW.07,,Place Median - New A Street - West ITF Station,5/27/2021 8:00:00 AM,6/15/2021 5:00:00 PM,
CR30220,Not Started,LINXS-1907.C.3.RW.07,,Install Curb/Ramps - New A Street - West ITF Station,5/18/2021 8:00:00 AM,5/26/2021 5:00:00 PM,
CR30210,Not Started,LINXS-1907.C.3.RW.07,,Remove Pavement - New A Street - West ITF Station,10/19/2020 8:00:00 AM,10/22/2020 5:00:00 PM,
